Crop_Type,temperature,Humidity,Soil_Moisture,Rainfall,pH,Evaporation_Rate,Water_Requirement,Area,Date
rice,28,75,20,150,6.5,5.0,120,0.048,2020-01-01
rice,30,80,15,200,6.0,5.5,130,0.052,2020-01-02
rice,22,65,25,100,6.8,4.5,110,0.044,2020-01-03
rice,25,70,30,250,5.9,4.0,140,0.056,2020-01-04
rice,33,85,10,300,6.2,6.0,150,0.06,2020-01-05
rice,27,60,20,180,6.4,4.8,125,0.05,2020-01-06
rice,29,90,15,220,6.1,5.6,135,0.054,2020-01-07
rice,24,55,25,120,5.7,4.2,115,0.046,2020-01-08
rice,31,78,30,260,6.3,5.4,145,0.058,2020-01-09
rice,26,68,10,90,6.6,4.6,105,0.042,2020-01-10
rice,34,82,20,280,6.0,6.1,155,0.062,2020-01-11
rice,29,79,25,150,6.5,5.0,125,0.05,2020-01-12
rice,32,85,20,200,6.4,5.5,140,0.056,2020-01-13
rice,23,70,30,250,6.2,4.8,130,0.052,2020-01-14
rice,30,75,15,180,5.8,5.2,120,0.048,2020-01-15
rice,28,80,25,220,6.0,5.4,135,0.054,2020-01-16
rice,26,65,20,160,6.3,4.7,110,0.044,2020-01-17
rice,24,72,30,240,5.9,4.5,145,0.058,2020-01-18
rice,31,78,15,190,6.6,5.6,125,0.05,2020-01-19
rice,22,60,25,130,6.1,4.3,115,0.046,2020-01-20
rice,35,87,10,300,6.2,6.5,160,0.064,2020-01-21
rice,27,70,20,170,5.8,4.9,120,0.048,2020-01-22
rice,29,82,30,210,6.4,5.3,140,0.056,2020-01-23
rice,33,90,15,250,6.0,5.7,150,0.06,2020-01-24
rice,25,65,25,110,6.8,4.2,105,0.042,2020-01-25
rice,30,75,20,200,6.5,5.0,130,0.052,2020-01-26
rice,28,80,15,160,6.3,5.5,120,0.048,2020-01-27
rice,22,60,30,140,6.1,4.0,110,0.044,2020-01-28
rice,34,85,20,270,6.2,6.2,155,0.062,2020-01-29
rice,26,68,25,220,5.9,4.6,135,0.054,2020-01-30
rice,31,90,10,280,6.5,6.0,150,0.06,2020-01-31
rice,29,75,20,150,6.4,5.2,120,0.048,2020-02-01
rice,24,70,25,130,6.6,4.5,115,0.046,2020-02-02
rice,30,80,30,200,6.3,5.4,140,0.056,2020-02-03
rice,32,85,15,250,6.1,5.7,150,0.06,2020-02-04
rice,25,65,20,110,6.2,4.3,105,0.042,2020-02-05
rice,28,78,30,240,6.0,5.1,145,0.058,2020-02-06
rice,33,82,10,300,6.4,6.3,160,0.064,2020-02-07
rice,27,70,20,180,5.8,4.8,120,0.048,2020-02-08
rice,29,75,25,160,6.5,5.5,130,0.052,2020-02-09
rice,22,60,15,140,6.1,4.2,110,0.044,2020-02-10
rice,34,90,20,270,6.2,6.1,155,0.062,2020-02-11
rice,26,68,25,220,5.9,4.6,135,0.054,2020-02-12
rice,31,85,10,290,6.0,6.0,150,0.06,2020-02-13
rice,30,75,20,150,6.5,5.0,120,0.048,2020-02-14
rice,28,80,15,200,6.3,5.5,130,0.052,2020-02-15
rice,22,65,30,100,6.8,4.5,110,0.044,2020-02-16
rice,35,87,10,300,6.2,6.5,160,0.064,2020-02-17
Sugarcane,30,75,25,150,6.5,5.0,200,0.08,2020-02-18
Sugarcane,32,80,20,200,6.0,5.5,210,0.084,2020-02-19
Sugarcane,28,70,30,120,6.8,4.5,190,0.076,2020-02-20
Sugarcane,29,85,15,180,6.2,5.2,205,0.082,2020-02-21
Sugarcane,31,78,22,250,5.9,4.8,215,0.086,2020-02-22
Sugarcane,30,76,18,160,6.4,5.1,200,0.08,2020-02-23
Sugarcane,33,82,25,300,6.1,6.0,220,0.088,2020-02-24
Sugarcane,27,68,20,130,6.3,4.7,195,0.078,2020-02-25
Sugarcane,34,85,30,270,6.0,5.9,225,0.09,2020-02-26
Sugarcane,29,80,15,140,6.5,5.3,200,0.08,2020-02-27
Sugarcane,28,75,20,190,6.4,5.0,210,0.084,2020-02-28
Sugarcane,32,90,25,220,6.2,5.4,215,0.086,2020-02-29
Sugarcane,30,77,30,260,5.8,5.6,230,0.092,2020-03-01
Sugarcane,31,72,18,150,6.7,4.9,205,0.082,2020-03-02
Sugarcane,29,78,20,170,6.3,5.1,200,0.08,2020-03-03
Sugarcane,34,81,25,300,6.0,6.2,240,0.096,2020-03-04
Sugarcane,27,74,15,110,6.5,4.6,185,0.074,2020-03-05
Sugarcane,30,79,22,180,6.3,5.3,210,0.084,2020-03-06
Sugarcane,32,83,20,250,6.1,5.5,220,0.088,2020-03-07
Sugarcane,28,76,30,200,6.4,5.0,200,0.08,2020-03-08
Sugarcane,29,80,15,160,6.5,5.2,205,0.082,2020-03-09
Sugarcane,31,75,20,170,6.2,5.4,215,0.086,2020-03-10
Sugarcane,30,78,25,230,6.0,5.1,210,0.084,2020-03-11
Sugarcane,34,82,22,280,6.3,6.0,240,0.096,2020-03-12
